id,question,intent,answer_id,answer,source,split
36,Dobivam li direktni upis ako sam sudjelovao na državnom natjecanju iz matematike ili informatike?,upisi,A036,"Stranice upisa navode da pristupnici koji su sudjelovali na državnom natjecanju iz matematike ili informatike ostvaruju pravo direktnog upisa, tj. maksimalnih 100% upisnih bodova.",pravilnik,train
37,Koliki dio upisnih bodova mogu ostvariti temeljem posebnih postignuća?,upisi,A037,Stranice upisa navode da se preostalih 10% upisnih bodova može ostvariti temeljem posebnih postignuća u polju matematike ili informatike.,pravilnik,train
38,Koji su primjeri posebnih postignuća koja se boduju pri upisu?,upisi,A038,"Navode se, među ostalim, sudjelovanja na natjecanjima (županijska/državna/regionalna), sudjelovanje u drugom krugu MathOS cup-a, sudjelovanje na statističkim natjecanjima (DZS/Eurostat), objave u stručnim časopisima i izlaganje na stručnom skupu.",pravilnik,train
39,Donosi li sudjelovanje u drugom krugu MathOS cup-a bodove kao posebno postignuće?,upisi,A039,"Da, kriteriji posebnih postignuća navode da sudjelovanje u drugom krugu MathOS cup-a donosi 100 posebnih bodova.",pravilnik,train
40,Tko boduje posebna postignuća za upis?,upisi,A040,Na stranicama upisa navodi se da posebna postignuća boduje Povjerenstvo Fakulteta na osnovu dostavljenih molbi i dokumentacije.,pravilnik,train
41,Do kada trebam dostaviti molbu i dokumentaciju za posebna postignuća?,upisi,A041,Za upise navedene na stranicama (2025.) rok je “do 16. lipnja 2025.”.,web,train
42,Što ako sam četverogodišnje srednje obrazovanje završio prije 2010. godine?,upisi,A042,"Stranice upisa navode da takvi pristupnici mogu polagati ispite državne mature koji su uvjet; mogu se prijaviti i ako ne polože ispite, ali tada ne dobivaju bodove iz tog dijela, već konkuriraju ocjenama iz srednje škole.",pravilnik,train
43,Kada su termini upisa za prijediplomske studije u ljetnom i jesenskom roku?,upisi,A043,"“Termini upisa"" navode ljetni rok 17. srpnja 2025. (8:00–12:00) i jesenski rok 22. rujna 2025. (8:00–12:00).",web,train
44,Koje dokumente trebam dostaviti za upis na prijediplomski studij?,upisi,A044,"Navodi se fotografija 4×6 cm, preslika osobne iskaznice, potvrda o uplati 47,00 eura troškova upisa te popunjen “Matični list” (obrazac).",web,dev
45,Koliki su troškovi upisa (prema stranicama upisa za 2025.) i što uključuju?,upisi,A045,"Navodi se uplata 47,00 eura: 40,00 eura za troškove prijave/upisa/materijala i 7,00 eura za projekte Studentskog zbora.",web,train
46,Mogu li dokumente za upis poslati e-mailom ili moram doći osobno?,upisi,A046,Stranice “Termini upisa” navode da se dokumenti mogu dostaviti osobno u Ured za studente i studije ili na e-mail referada@mathos.hr,web,train
47,Što se događa ako ne iskoristim pravo na upis u roku u kojem sam ga stekao?,upisi,A047,"Stranice upisa navode da pristupnici koji ne iskoriste pravo na upis u roku u kojem su to pravo stekli, gube pravo upisa.",web,train
48,Koje su upisne kvote za diplomske studije?,upisi,A048,Navode se kvote: Matematika 50 (RH/EU) + 2 (stranci izvan EU); Matematika modul Financijska matematika i statistika 30 + 1; Matematika modul Matematika i računarstvo 20 + 1; Matematika i informatika (nastavnički modul) 30 + 1.,web,train
49,Tko ima pravo upisa na diplomski studij Matematika?,upisi,A049,"Pravo upisa imaju pristupnici koji su završili prijediplomski studij Matematika, Matematika i računarstvo ili drugi srodni sveučilišni prijediplomski studij.",web,train
50,Koji su uvjeti za diplomski studij Matematika i informatika (nastavnički modul)?,upisi,A050,Potrebno je imati završen srodni prijediplomski studij uz najmanje 150 ECTS bodova iz matematičkih i informatičkih predmeta; iznimno je moguće s najmanje 120 ECTS uz obvezu nadoknade do 30 ECTS izbornih predmeta koje odredi Povjerenstvo za upise.,web,train
51,Postoji li razredbeni ispit za upis na diplomske studije?,upisi,A051,Navodi se da se ne održavaju razredbeni ispiti; rang-liste se određuju prema težinskom prosjeku ocjena (na 3 decimale) s prijediplomskog studija.,web,train
52,Koji su rokovi zaprimanja prijava za diplomske studije?,upisi,A052,Prijave se primaju 22.–26. rujna 2025. (prvi upisni rok) te 29. rujna–3. listopada 2025. (drugi upisni rok).,web,train
53,Kako se predaje prijava za diplomski studij?,upisi,A053,Prijava se može donijeti osobno u Ured za studente i studije ili poslati na e-mail referada@mathos.hr,web,test
54,Koji su dokumenti potrebni uz prijavu za diplomski studij?,upisi,A054,"Navode se: uvjerenje/diploma o završenom prijediplomskom (ili drugom) studiju, službeni prijepis ocjena ili dopunska isprava o studiju, potvrde o međunarodnim natjecanjima/nagradama (ako postoje) te ispunjeni formular prijave.",web,train
55,Koji su dokumenti potrebni pri samom upisu na diplomski studij?,upisi,A055,"Navode se kopija osobne iskaznice, fotografija (4×6 cm) i potvrda o uplati 47,00 eura na ime troškova upisa.",web,train
56,Kada se obavlja upis pristupnika koji su stekli pravo upisa na diplomski studij?,upisi,A056,Navodi se da će se upis obavljati 30. rujna i 6. listopada 2025. ,web,train
57,Kada počinje nastava za studente viših godina?,nastava,A057,"Prema obavijesti, nastava za ostale studente prijediplomskih i diplomskih studija započinje u ponedjeljak 6. listopada 2025. sukladno rasporedu.",web,train
58,Postoji li minimalan broj ECTS bodova koje moram upisati po semestru?,nastava,A058,Studijski programi navode da broj ECTS bodova po semestru ne smije biti manji od 25.,pravilnik,train
59,Kako se ostvaruje obaveznih 60 ECTS bodova u akademskoj godini na prijediplomskim studijima?,nastava,A059,U studijskim programima piše da razliku do obaveznih 60 ECTS student ostvaruje upisom izbornih predmeta uz obavezne predmete.,pravilnik,train
60,Koji su uvjeti za upis u 2. godinu prijediplomskog studija Matematika i računarstvo?,upisi,A060,"Uvjet je najmanje 40 ECTS bodova koji obavezno uključuju bodove iz Diferencijalnog računa, Linearne algebre I i Uvoda u računalnu znanost.",pravilnik,train
61,Koji su uvjeti za upis u 3. godinu prijediplomskog studija Matematika i računarstvo?,upisi,A061,"Potrebno je položiti sve ispite s I. godine i imati najmanje 40 ECTS bodova s II. godine, uključujući bodove iz Primijenjene matematike za računalnu znanost, Struktura podataka i algoritama I te Modernih računalnih sustava.",pravilnik,train
62,Koji su uvjeti za upis u 3. godinu prijediplomskog studija Matematika?,upisi,A062,"Potrebno je položiti sve ispite s I. godine i imati najmanje 40 ECTS bodova s II. godine, uključujući Funkcije više varijabli i Uvod u vjerojatnost i statistiku.",pravilnik,train
63,Koji su uvjeti za upis u 2. godinu prijediplomskog studija Matematika?,upisi,A063,"U izvedbenom planu navodi se uvjet: najmanje 40 ECTS bodova, uključujući Diferencijalni račun, Uvod u računalnu znanost i Linearnu algebru I.",pravilnik,train
64,Koji su uvjeti za upis u 2. godinu diplomskog studija Matematika i računarstvo?,upisi,A064,Studijski program navodi uvjet: najmanje 40 ECTS bodova koji obavezno uključuju bodove predmeta Inteligentni robotski sustavi.,pravilnik,train
65,Postoji li završni rad na prijediplomskom studiju Matematika i računarstvo?,upisi,A065,U studijskom programu za III. godinu navode se “Završni rad” i “Završni praktični projekt” kao dio programa. ,pravilnik,train
66,Postoji li završni rad na prijediplomskom studiju Matematika?,upisi,A066,U studijskom programu za III. godinu naveden je “Završni rad”.,pravilnik,train
67,Koliko ECTS bodova nosi diplomski rad na diplomskom studiju Matematika i računarstvo?,nastava,A067,U studijskom programu diplomski rad je naveden s vrijednošću 8 ECTS.,pravilnik,train
68,Dobivaju li studenti službene korisničke račune prilikom upisa?,it,A068,IT podrška navodi da su svi studenti dobili korisnički račun na poslužitelju pitagora.mathos.hr i AAI@EduHr identitet prilikom upisa.,web,train
69,Kako mogu pristupiti službenom e-mailu Fakulteta kao student?,it,A069,"IT podrška navodi pristup putem web sučelja (Roundcube) ili putem e-mail klijenta, uz specificirane IMAP/SMTP postavke.",web,train
70,Koje su IMAP/SMTP postavke za studentski mail (pitagora.mathos.hr)?,it,A070,"IT podrška navodi: incoming IMAP pitagora.mathos.hr, port 143, STARTTLS; outgoing SMTP pitagora.mathos.hr, port 587, STARTTLS uz autentikaciju.",web,train
71,Kako mogu promijeniti lozinku za studentski e-mail?,it,A071,IT podrška navodi promjenu lozinke kroz Roundcube webmail sučelje (Settings → Password).,web,train
72,Mogu li postaviti prosljeđivanje studentskog maila?,it,A072,IT podrška navodi da se prosljeđivanje e-maila može postaviti na istoj adresi kao i webmail (Roundcube).,web,train
73,Što je AAI@EduHr identitet?,it,A073,IT podrška opisuje AAI@EduHr kao autentikacijsku i autorizacijsku infrastrukturu sustava znanosti i visokog obrazovanja u RH.,web,train
74,Kako izgleda AAI@EduHr korisnički identifikator?,it,A074,Navodi se da je u obliku username@unios.hr i da to nije e-mail adresa.,web,train
75,Za što mogu koristiti AAI@EduHr račun u praksi?,it,A075,"IT podrška navodi korištenje za Office 365 usluge (npr. Teams), prijavu na eduroam, prijavu na web Fakulteta, pristup e-Građani i druge usluge.",web,train
76,Mogu li se AAI@EduHr računom prijaviti na eduroam?,it,A076,"Da, IT podrška navodi da se AAI identitet koristi za prijavu na eduroam mrežu Fakulteta i drugih akademskih institucija u Hrvatskoj i Europi.",web,train
77,Gdje mogu pronaći upute za konfiguraciju eduroam-a na uređaju?,it,A077,IT podrška upućuje na eduroam installer stranicu za konfiguraciju uređaja.,web,train
78,Čime se na Fakultetu obično odvija komunikacija vezana uz kolegije tijekom semestra?,it,A078,Obavijest za brucoše navodi da se komunikacija vezana uz kolegije odvija putem MS Teams platforme.,web,dev
79,Kako se prijavljujem u MS Teams za kolegije?,it,A079,Obavijest za brucoše navodi prijavu pomoću AAI@EduHr identiteta.,web,dev
80,Kako se pridružujem Teams “timovima” pojedinih kolegija?,it,A080,Obavijest za brucoše navodi da se u rasporedu nalaze Teams kodovi kolegija i da su studenti obvezni priključiti se timovima kolegija koje slušaju u zimskom semestru.,web,test
81,Jesu li podaci za prijavu u anketu isti kao za ISVU Studomat?,it,A081,Sveučilišna anketa navodi da se logira AAI@EduHr identitetom i dodaje “isti podaci kao za ISVU studomat”.,web,test
82,Kako pristupam Jedinstvenoj sveučilišnoj studentskoj anketi?,anketa,A082,Objava o anketi navodi pristup preko sveučilišnog portala ankete uz prijavu AAI@EduHr identitetom.,web,train
83,Mogu li ispunjavati sveučilišnu anketu u više navrata?,anketa,A083,"Da, navodi se da se anketa može ispunjavati u više navrata te ponovno prijaviti istim podatcima dok se anketa ne zaključi.",web,train
84,Što dobivam nakon što ispunim anketu za sve nastavnike i suradnike?,anketa,A084,Navodi se da student može samostalno ispisati potvrdu koju prilaže (uz ostale dokumente) pri upisu u višu godinu i završetku studija.,web,train
85,Je li Jedinstvena sveučilišna studentska anketa anonimna?,anketa,A085,"Da, u objavi se navodi da je anketa u potpunosti anonimna.",web,train
86,Kome se javiti ako imam poteškoća sa sveučilišnom anketom?,anketa,A086,Objavom je naveden kontakt e-mail dtrampus@mathos.hr za poteškoće/primjedbe/pitanja.,web,train
87,Kada se provodi interna studentska anketa Fakulteta?,anketa,A087,Objava navodi razdoblje od 26. siječnja do 27. veljače 2026.,web,train
88,Kako se ispunjava interna anketa Fakulteta?,anketa,A088,"Navodi se da studenti mogu ispuniti anketu prijavom u Studomat, u bilo koje vrijeme i s bilo kojeg mjesta.",web,train
89,Tko ispunjava internu studentsku anketu Fakulteta?,anketa,A089,Navodi se da anketu popunjavaju studenti čiji se studij vodi kroz ISVU (tj. oni koji ispite prijavljuju putem Studomata).,web,dev
90,Je li interna anketa anonimna?,anketa,A090,"Da, navodi se da je potpuno anonimna i da odgovore nije moguće povezati s bilo kojim studentom.",web,dev
91,Postoji li poticaj/nagrada za ispunjavanje interne ankete?,anketa,A091,Navodi se da studenti mogu ostvariti pravo na kemijsku olovku i blok s logom MATHOS ako anketu ispune 17. veljače između 9 i 14 sati u RP-3.,web,test
92,Što ako imam problem pri popunjavanju interne ankete?,anketa,A092,Navodi se da se u slučaju problema ili nejasnoća treba kontaktirati Ured za studente (studentsku referadu).,web,test
93,Što je Studentski zbor?,studentski_zbor,A093,"Studentski zbor je studentsko izborno predstavničko tijelo koje štiti interese studenata, sudjeluje u odlučivanju u tijelima visokog učilišta i predstavlja studente u sustavu visokog obrazovanja.",web,train
94,Od koliko članova se sastoji Studentski zbor Fakulteta?,studentski_zbor,A094,"Navodi se da se sastoji od sedam članova, od kojih troje čine predsjednik, zamjenik i predstavnik u Studentskom zboru Sveučilišta.",web,train
95,Koliko često se održavaju studentski izbori za studentski zbor?,studentski_zbor,A095,Navodi se da se izbori održavaju svake dvije godine te da se novi predstavnici biraju na razdoblje od dvije godine.,web,train
96,Tko je studentski pravobranitelj i kako ga kontaktirati?,studentski_zbor,A096,"Studentski pravobranitelj je Zvonimir Šego, a e-mail je pravobranitelj@mathos.hr",web,train
97,Koje je radno vrijeme glasačkih mjesta na studentskim izborima?,studentski_zbor,A097,Za izbore 23. lipnja 2025. navodi se da su glasačka mjesta otvorena od 7:00 do 19:00.,web,train
98,Tko ima pravo sudjelovati i birati na studentskim izborima?,studentski_zbor,A098,"Navodi se da pravo imaju svi studenti preddiplomskih, diplomskih i integriranih sveučilišnih studija, stručnih studija i poslijediplomskih studija Sveučilišta.",web,train
99,Što je “Sigurni kanal”?,studentski_zbor,A099,"To je kanal za prijave uznemiravanja, spolnog uznemiravanja, zlostavljanja, kršenja načela ravnopravnosti spolova i povezanih oblika diskriminacije (od zaposlenika ili studenata), prema uputama koje je donijelo Vijeće 2023.",web,train
100,Na koju adresu šaljem prijavu putem sigurnog kanala?,studentski_zbor,A100,Prijave se podnose putem e-mail adrese sigurni-kanal@mathos.hr,web,dev
101,Mogu li prijavu sigurnim kanalom voditi anonimno?,studentski_zbor,A101,"Navodi se da u e-mailu treba naznačiti želite li anonimno; studenti se trebaju identificirati da bi se potvrdio status studenta, ali vanjski su podaci zaštićeni i prijava može biti anonimna ako student to želi.",web,dev
102,Tko zaprima prijave i što se s njima radi?,studentski_zbor,A102,Navodi se da je Studentski zbor odredio ovlaštenu osobu koja zaprimljene prijave prosljeđuje nadležnim tijelima sukladno propisima i internim aktima.,web,test
103,Što ako žrtva ne želi da se prijava proslijedi?,studentski_zbor,A103,"Navodi se da ovlaštena osoba poštuje stav prijavitelja, ali iznimno može proslijediti prijavu ako se radi o kaznenom djelu koje se goni po službenoj dužnosti.",web,test
104,Tko je akademski Erasmus koordinator i kako ga kontaktirati?,erasmus,A104,Nа stranici mobilnosti naveden je akademski Erasmus koordinator Ivan Papić s kontaktom ipapic@mathos.hr.,web,train
105,Postoji li Microsoft Teams kanal za Erasmus+ odlaznu mobilnost?,erasmus,A105,"Da, na stranici mobilnosti naveden je Teams kanal s kodom xl5p3w8 za Erasmus+ odlaznu mobilnost.",web,train
106,Koji je preduvjet da strani student dođe na Erasmus+ razmjenu kao incoming student?,erasmus,A106,Navodi se da mora postojati Interinstitutional Agreement (IIA) s partnerskim sveučilištem za relevantno područje te da student mora biti nominiran od partnerskog sveučilišta za Erasmus+ boravak na UNIOS-u.,web,train
107,Plaćaju li Erasmus exchange studenti školarinu na razmjeni?,erasmus,A107,Navodi se da Erasmus exchange studenti ne moraju plaćati naknade (fees) za studij u inozemstvu u okviru razmjene.,web,train
108,Postoje li stipendije/potpore za Erasmus studente?,erasmus,A108,"Na stranici mobilnosti navode se grantovi za troškove života te dodatna podrška za studente sa zdravstvenim/mentalnim/invaliditetom, uz napomenu da se prijava radi preko matičnog sveučilišta.",web,train
109,Gdje mogu vidjeti popis kolegija na engleskom za Erasmus+ incoming studente?,erasmus,A109,"Stranica mobilnosti upućuje na popis dostupnih kolegija (offered in English) za Erasmus+ incoming studente, a zasebna stranica “Erasmus+ Courses 2025./26.” daje listu kolegija.",web,train
110,Kome se javiti za detalje oko pojedinog Erasmus kolegija?,erasmus,A110,Na stranici “Erasmus+ Courses 2025./26.” navodi se da za sve detalje treba kontaktirati odgovarajućeg nastavnika (lecturer),web,train
111,Gdje se prijavljuje Erasmus+ odlazna mobilnost?,erasmus,A111,Na stranici mobilnosti navodi se da se prijava radi kroz sveučilišni Erasmus/international office.,web,dev
112,U kojoj godini se obično ide na studijski boravak u inozemstvo?,erasmus,A112,Stranica mobilnosti navodi da se studiranje u inozemstvu obično odvija u drugoj ili trećoj godini studija.,web,dev
113,Što je Learning Agreement i što obuhvaća?,erasmus,A113,"Na stranici mobilnosti Learning Agreement je opisan kao dokument/program koji uključuje kolegije na instituciji domaćinu, ekvivalente na matičnoj instituciji, promjene kolegija (ako treba) te transkripte/recognition dijelove.",web,test
114,Kako se priznaju ispiti položeni na Erasmus razmjeni?,erasmus,A114,"Navodi se da institucija domaćin izdaje Transcript of Records, a matična institucija mora akademski u potpunosti priznati uspješno odrađene aktivnosti i donijeti odluku o priznavanju ocjena i ECTS-a prema Learning Agreementu (uz moguće navođenje dodatnih kolegija u dopunskoj ispravi).",web,test
115,Koje programe cjeloživotnog obrazovanja Fakultet navodi na svojoj stranici?,cijelozivotno,A115,Na stranici cjeloživotnog obrazovanja navedena su dva programa: “Primijenjena statistika” i “Matematika u financijskim transakcijama”.,web,train
116,Čemu služi program “Matematika u financijskim transakcijama” prema pozivu za iskaz interesa?,cijelozivotno,A116,Poziv navodi da je program osmišljen za upoznavanje ključnih pojmova financijske matematike i metoda u svakodnevnim financijskim transakcijama te razvoj znanja za financijske izračune i analize (uključujući izračune iza MATHOS kreditnog kalkulatora).,web,train
117,Kome je namijenjen program “Matematika u financijskim transakcijama”?,cijelozivotno,A117,Kome je namijenjen program “Matematika u financijskim transakcijama” (prema pozivu)?,web,train
118,Koje predznanje trebam za upis programa “Matematika u financijskim transakcijama”?,cijelozivotno,A118,Koje predznanje trebam za upis programa “Matematika u financijskim transakcijama” (prema pozivu)?,web,train
119,Kada se planira izvođenje programa “Matematika u financijskim transakcijama”?,cijelozivotno,A119,"Ako se prijavi dovoljan broj polaznika, planira se izvođenje u svibnju 2026. u poslijepodnevnim satima radnim danom, u 10 termina po 3 školska sata.",web,train
120,Kolika je cijena programa “Matematika u financijskim transakcijama”?,cijelozivotno,A120,"Poziv navodi cijenu 398€, a stranica programa navodi 398 EUR (bez PDV-a).",web,train
121,Koji je rok za prijavu interesa za program “Matematika u financijskim transakcijama”?,cijelozivotno,A121,Rok za prijavu interesa naveden je 10. travnja 2026.,web,train
122,Gdje šaljem upite o programu “Matematika u financijskim transakcijama”?,cijelozivotno,A122,U pozivu i na stranici programa naveden je kontakt financijske.transakcije@mathos.hr,web,train
123,Koliko traje program “Matematika u financijskim transakcijama” i koliko ECTS nosi?,cijelozivotno,A123,Stranica programa navodi trajanje 30 sati i 6 ECTS.,web,train
124,Koliko traje program “Primijenjena statistika” i koliko ECTS nosi?,cijelozivotno,A124,Stranica programa navodi trajanje 45 sati i 8 ECTS.,web,train
125,Kolika je cijena programa “Primijenjena statistika”?,cijelozivotno,A125,Stranica programa navodi cijenu 531 EUR.,web,dev
126,Koji se softver koristi u programu “Primijenjena statistika”?,cijelozivotno,A126,Navodi se korištenje licenciranog statističkog softvera i besplatnog statističkog jezika R.,web,dev
127,Trebam li jako matematičko predznanje za “Primijenjenu statistiku”?,cijelozivotno,A127,Stranica programa navodi da nije nužno predznanje veće od matematike klasičnih/jezičnih gimnazijskih programa u RH te da se traži završena srednja škola ili program koji osigurava tu razinu.,web,test
128,Kako se prijavljujem za “Primijenjenu statistiku”?,cijelozivotno,A128,"Navodi se da su prijave za nove grupe trajno otvorene te da se prijava radi ispunjavanjem online formulara, za upite je naveden statistika@mathos.hr",web,test
129,Što je MathOS cup?,mathos_cup,A129,"Opisan je kao ekipno, dinamično natjecanje učenika srednjih škola, organizirano u dvije sekcije: matematika i programiranje.",web,train
130,Tko su nositelji organizacije MathOS cup-a?,mathos_cup,A130,"Nositelji organizacije MathOS cupa su Fakultet primijenjene matematike i informatike u Osijeku, III. gimnazija Osijek, Gimnazija Požega, uz podršku Udruge matematičara Osijek.",web,train
131,Tko može sudjelovati u MathOS cup natjecanju iz matematike?,mathos_cup,A131,"Navodi se da u matematičkoj sekciji mogu sudjelovati učenici koji pohađaju školu u jednoj od pet slavonskih županija (Vukovarsko-srijemska, Osječko-baranjska, Požeško-slavonska, Virovitičko-podravska, Brodsko-posavska).",web,train
132,Kako je strukturirano natjecanje MathOS cup?,mathos_cup,A132,"U obje sekcije navode se dva kruga: prvi online, a drugi (za najuspješnije ekipe) uživo na Fakultetu.",web,train
133,Donosi li sudjelovanje u drugom krugu MathOS cup-a bodove za upis na Fakultet?,mathos_cup,A133,Stranica MathOS cup-a navodi da se sudionicima drugog kruga priznaje maksimalni broj bodova u okviru bodovanja posebnih postignuća za upis na prijediplomske studije Matematika i Matematika i računarstvo.,web,train
134,Koji su ključni datumi za MathOS cup 2026 – sekcija programiranje?,mathos_cup,A134,Navodi se: prijave 4.12.2025.–13.2.2026.; 1. krug 20. veljače 2026.; 2. krug 24. travnja 2026.,web,train
135,Koji su ključni datumi za MathOS cup 2026 – sekcija matematika?,mathos_cup,A135,Koji su ključni datumi za MathOS cup 2026 – sekcija matematika?,web,train
136,Kome se javiti za MathOS cup 2026 (sekcija programiranje)?,mathos_cup,A136,Navodi se kontakt tprusina@mathos.hr,web,dev
